no,pic,cla,ans,trials_prac.thisRepN,trials_prac.thisTrialN,trials_prac.thisN,trials_prac.thisIndex,trials_huan.thisRepN,trials_huan.thisTrialN,trials_huan.thisN,trials_huan.thisIndex,trials_baseline.thisRepN,trials_baseline.thisTrialN,trials_baseline.thisN,trials_baseline.thisIndex,trials_formal.thisRepN,trials_formal.thisTrialN,trials_formal.thisN,trials_formal.thisIndex,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_huan.keys,key_resp_huan.rt,key_resp_base.keys,key_resp_base.rt,key_resp_for.keys,key_resp_for.rt,date,frameRate,expName,session,participant,
41,pic/9.png,abb,['num_9'],,,,,,,,,,,,,0,44,44,44,,,,,,,,num_9,0.485758900002,2019_May_08_0950,59.7888020319,click_exp,001,mf1733024,
42,pic/3.png,abb,['num_3'],,,,,,,,,,,,,0,45,45,45,,,,,,,,num_3,0.703417599987,2019_May_08_0950,59.7888020319,click_exp,001,mf1733024,
43,pic/3.png,abb,['num_3'],,,,,,,,,,,,,0,46,46,46,,,,,,,,num_3,0.487184499972,2019_May_08_0950,59.7888020319,click_exp,001,mf1733024,
44,pic/3.png,abb,['num_3'],,,,,,,,,,,,,0,47,47,47,,,,,,,,num_3,0.50248570001,2019_May_08_0950,59.7888020319,click_exp,001,mf1733024,
45,pic/4.png,abb,['num_4'],,,,,,,,,,,,,0,48,48,48,,,,,,,,num_4,0.469249699992,2019_May_08_0950,59.7888020319,click_exp,001,mf1733024,
46,pic/4.png,abb,['num_4'],,,,,,,,,,,,,0,49,49,49,,,,,,,,num_4,0.482255300012,2019_May_08_0950,59.7888020319,click_exp,001,mf1733024,
-1,pic/3.png,huan,['num_3'],,,,,,,,,,,,,0,50,50,50,,,,,,,,num_3,0.502256200009,2019_May_08_0950,59.7888020319,click_exp,001,mf1733024,
-1,pic/5.png,huan,['num_5'],,,,,,,,,,,,,0,51,51,51,,,,,,,,num_5,0.451863099996,2019_May_08_0950,59.7888020319,click_exp,001,mf1733024,
47,pic/4.png,wh,['num_4'],,,,,,,,,,,,,0,52,52,52,,,,,,,,num_4,0.418563799991,2019_May_08_0950,59.7888020319,click_exp,001,mf1733024,
48,pic/5.png,wh,['num_5'],,,,,,,,,,,,,0,53,53,53,,,,,,,,num_5,0.419093999983,2019_May_08_0950,59.7888020319,click_exp,001,mf1733024,
49,pic/6.png,wh,['num_6'],,,,,,,,,,,,,0,54,54,54,,,,,,,,num_6,0.536356199998,2019_May_08_0950,59.7888020319,click_exp,001,mf1733024,
50,pic/7.png,wh,['num_7'],,,,,,,,,,,,,0,55,55,55,,,,,,,,num_7,0.552669600002,2019_May_08_0950,59.7888020319,click_exp,001,mf1733024,
51,pic/8.png,wh,['num_8'],,,,,,,,,,,,,0,56,56,56,,,,,,,,num_8,0.502565900009,2019_May_08_0950,59.7888020319,click_exp,001,mf1733024,
52,pic/9.png,wh,['num_9'],,,,,,,,,,,,,0,57,57,57,,,,,,,,num_9,0.519124999992,2019_May_08_0950,59.7888020319,click_exp,001,mf1733024,
53,pic/4.png,wh,['num_4'],,,,,,,,,,,,,0,58,58,58,,,,,,,,num_4,0.418524399982,2019_May_08_0950,59.7888020319,click_exp,001,mf1733024,
54,pic/5.png,wh,['num_5'],,,,,,,,,,,,,0,59,59,59,,,,,,,,num_5,0.335427300015,2019_May_08_0950,59.7888020319,click_exp,001,mf1733024,
55,pic/6.png,wh,['num_6'],,,,,,,,,,,,,0,60,60,60,,,,,,,,num_6,0.518783899985,2019_May_08_0950,59.7888020319,click_exp,001,mf1733024,
56,pic/7.png,wh,['num_7'],,,,,,,,,,,,,0,61,61,61,,,,,,,,num_7,0.534603700013,2019_May_08_0950,59.7888020319,click_exp,001,mf1733024,
57,pic/8.png,wh,['num_8'],,,,,,,,,,,,,0,62,62,62,,,,,,,,num_8,0.368617500004,2019_May_08_0950,59.7888020319,click_exp,001,mf1733024,
58,pic/9.png,wh,['num_9'],,,,,,,,,,,,,0,63,63,63,,,,,,,,num_9,0.437202300003,2019_May_08_0950,59.7888020319,click_exp,001,mf1733024,
59,pic/7.png,cross,['num_7'],,,,,,,,,,,,,0,64,64,64,,,,,,,,num_7,0.485835200001,2019_May_08_0950,59.7888020319,click_exp,001,mf1733024,
60,pic/5.png,cross,['num_5'],,,,,,,,,,,,,0,65,65,65,,,,,,,,num_5,0.535811299982,2019_May_08_0950,59.7888020319,click_exp,001,mf1733024,
61,pic/3.png,cross,['num_3'],,,,,,,,,,,,,0,66,66,66,,,,,,,,num_3,0.519115500007,2019_May_08_0950,59.7888020319,click_exp,001,mf1733024,
